Puesto;J;G;E;P;GF;GC;DG;GF/GC;DG por partido;GF por partido;GC por partido;Year;;;;;
1;8;8;0;0;267;220;47;1.2136;5.88;33.38;27.5;2024;33.38;26.2;;27.5;34.6
2;8;6;0;2;248;241;7;1.029;0.88;31;30.13;2024;;;;;
3;8;5;0;3;227;223;4;1.0179;0.5;28.38;27.88;2024;;;;;
4;8;4;0;4;225;224;1;1.0045;0.13;28.13;28;2024;;;;;
5;6;3;1;2;176;169;7;1.0414;1.17;29.33;28.17;2024;;;;;
6;6;3;0;3;167;169;-2;0.9882;-0.33;27.83;28.17;2024;;;;;
7;6;3;0;3;189;171;18;1.1053;3;31.5;28.5;2024;;;;;
8;6;2;1;3;163;166;-3;0.9819;-0.5;27.17;27.67;2024;;;;;
9;5;2;0;3;148;156;-8;0.9487;-1.6;29.6;31.2;2024;;;;;
10;5;1;0;4;137;138;-1;0.9928;-0.2;27.4;27.6;2024;;;;;
11;5;0;0;5;143;173;-30;0.8266;-6;28.6;34.6;2024;;;;;
12;5;0;0;5;131;171;-40;0.7661;-8;26.2;34.2;2024;;;;;
1;8;7;0;1;256;222;34;1.1532;4.25;32;27.75;2020;32;25;;26.5;34
2;8;6;0;2;255;212;43;1.2028;5.38;31.88;26.5;2020;;;;;
3;8;6;0;2;245;233;12;1.0515;1.5;30.63;29.13;2020;;;;;
4;8;5;0;3;239;220;19;1.0864;2.38;29.88;27.5;2020;;;;;
5;6;4;0;2;177;176;1;1.0057;0.17;29.5;29.33;2020;;;;;
6;6;3;0;3;172;162;10;1.0617;1.67;28.67;27;2020;;;;;
7;6;3;0;3;161;163;-2;0.9877;-0.33;26.83;27.17;2020;;;;;
8;6;1;0;5;157;191;-34;0.822;-5.67;26.17;31.83;2020;;;;;
9;5;1;0;4;143;156;-13;0.9167;-2.6;28.6;31.2;2020;;;;;
10;5;1;0;4;128;145;-17;0.8828;-3.4;25.6;29;2020;;;;;
11;5;1;0;4;146;170;-24;0.8588;-4.8;29.2;34;2020;;;;;
12;5;0;0;5;125;154;-29;0.8117;-5.8;25;30.8;2020;;;;;
1;8;6;0;2;230;211;19;1.09;2.38;28.75;26.38;2016;30.75;22;;25.2;30.67
2;8;6;0;2;241;209;32;1.1531;4;30.13;26.13;2016;;;;;
3;8;6;0;2;246;217;29;1.1336;3.63;30.75;27.13;2016;;;;;
4;8;3;0;5;222;227;-5;0.978;-0.63;27.75;28.38;2016;;;;;
5;6;4;0;2;174;164;10;1.061;1.67;29;27.33;2016;;;;;
6;6;4;0;2;167;163;4;1.0245;0.67;27.83;27.17;2016;;;;;
7;6;2;1;3;168;184;-16;0.913;-2.67;28;30.67;2016;;;;;
8;6;2;1;3;144;161;-17;0.8944;-2.83;24;26.83;2016;;;;;
9;5;1;1;3;129;143;-14;0.9021;-2.8;25.8;28.6;2016;;;;;
10;5;1;0;4;110;126;-16;0.873;-3.2;22;25.2;2016;;;;;
11;5;1;0;4;132;131;1;1.0076;0.2;26.4;26.2;2016;;;;;
12;5;0;1;4;118;145;-27;0.8138;-5.4;23.6;29;2016;;;;;
1;8;7;0;1;229;175;54;1.3086;6.75;28.63;21.88;2012;33.33;19.2;;21.88;38.4
2;8;5;0;3;228;185;43;1.2324;5.38;28.5;23.13;2012;;;;;
3;8;7;0;1;223;180;43;1.2389;5.38;27.88;22.5;2012;;;;;
4;8;3;0;5;197;214;-17;0.9206;-2.13;24.63;26.75;2012;;;;;
5;6;5;0;1;200;166;34;1.2048;5.67;33.33;27.67;2012;;;;;
6;6;4;0;2;146;153;-7;0.9542;-1.17;24.33;25.5;2012;;;;;
7;6;3;0;3;162;149;13;1.0872;2.17;27;24.83;2012;;;;;
8;6;2;0;4;144;150;-6;0.96;-1;24;25;2012;;;;;
9;5;1;0;4;120;131;-11;0.916;-2.2;24;26.2;2012;;;;;
10;5;1;0;4;113;138;-25;0.8188;-5;22.6;27.6;2012;;;;;
11;5;0;0;5;115;140;-25;0.8214;-5;23;28;2012;;;;;
12;5;0;0;5;96;192;-96;0.5;-19.2;19.2;38.4;2012;;;;;
1;8;7;1;0;228;185;43;1.2324;5.38;28.5;23.13;2008;30.75;20.8;;23.13;32.8
2;8;4;2;2;242;234;8;1.0342;1;30.25;29.25;2008;;;;;
3;8;5;0;3;246;234;12;1.0513;1.5;30.75;29.25;2008;;;;;
4;8;4;0;4;218;199;19;1.0955;2.38;27.25;24.88;2008;;;;;
5;8;5;1;2;235;214;21;1.0981;2.63;29.38;26.75;2008;;;;;
6;8;3;1;4;216;214;2;1.0093;0.25;27;26.75;2008;;;;;
7;8;3;2;3;225;211;14;1.0664;1.75;28.13;26.38;2008;;;;;
8;8;3;0;5;198;224;-26;0.8839;-3.25;24.75;28;2008;;;;;
9;5;2;1;2;126;130;-4;0.9692;-0.8;25.2;26;2008;;;;;
10;5;0;2;3;127;132;-5;0.9621;-1;25.4;26.4;2008;;;;;
11;5;1;0;4;129;153;-24;0.8431;-4.8;25.8;30.6;2008;;;;;
12;5;0;0;5;104;164;-60;0.6341;-12;20.8;32.8;2008;;;;;
1;8;8;0;0;238;211;27;1.128;3.38;29.75;26.38;2004;30.25;21.67;;22;30.5
2;8;5;0;3;216;181;35;1.1934;4.38;27;22.63;2004;;;;;
3;8;4;0;4;214;216;-2;0.9907;-0.25;26.75;27;2004;;;;;
4;8;5;0;3;219;210;9;1.0429;1.13;27.38;26.25;2004;;;;;
5;8;7;0;1;221;176;45;1.2557;5.63;27.63;22;2004;;;;;
6;8;3;0;5;188;220;-32;0.8545;-4;23.5;27.5;2004;;;;;
7;8;5;0;3;242;222;20;1.0901;2.5;30.25;27.75;2004;;;;;
8;8;2;0;6;221;238;-17;0.9286;-2.13;27.63;29.75;2004;;;;;
9;6;2;0;4;172;183;-11;0.9399;-1.83;28.67;30.5;2004;;;;;
10;6;1;0;5;130;162;-32;0.8025;-5.33;21.67;27;2004;;;;;
11;6;2;0;4;160;173;-13;0.9249;-2.17;26.67;28.83;2004;;;;;
12;6;0;0;6;134;163;-29;0.8221;-4.83;22.33;27.17;2004;;;;;
1;8;7;0;1;219;195;24;1.1231;3;27.38;24.38;2000;30;21.67;;22.13;34
2;8;7;0;1;240;197;43;1.2183;5.38;30;24.63;2000;;;;;
3;8;5;0;3;222;206;16;1.0777;2;27.75;25.75;2000;;;;;
4;8;4;0;4;204;203;1;1.0049;0.13;25.5;25.38;2000;;;;;
5;8;5;1;2;203;180;23;1.1278;2.88;25.38;22.5;2000;;;;;
6;8;4;1;3;192;177;15;1.0847;1.88;24;22.13;2000;;;;;
7;8;4;0;4;197;194;3;1.0155;0.38;24.63;24.25;2000;;;;;
8;8;2;1;5;209;223;-14;0.9372;-1.75;26.13;27.88;2000;;;;;
9;6;2;1;3;152;150;2;1.0133;0.33;25.33;25;2000;;;;;
