X;Y;Yp;Years
0;0;0;1980
1;8;0.2105;1980
2;20;0.5263;1980
3;6;0.1579;1980
4;2;0.0526;1980
5;1;0.0263;1980
6;1;0.0263;1980
7;0;0;1980
8;0;0;1980
9;0;0;1980
10;0;0;1980
11;0;0;1980
12;0;0;1980
13;0;0;1980
14;0;0;1980
15;0;0;1980
16;0;0;1980
17;0;0;1980
18;0;0;1980
19;0;0;1980
20;0;0;1980
0;1;0.0263;1984
1;9;0.2368;1984
2;23;0.6053;1984
3;4;0.1053;1984
4;1;0.0263;1984
5;0;0;1984
6;0;0;1984
7;0;0;1984
8;0;0;1984
9;0;0;1984
10;0;0;1984
11;0;0;1984
12;0;0;1984
13;0;0;1984
14;0;0;1984
15;0;0;1984
16;0;0;1984
17;0;0;1984
18;0;0;1984
19;0;0;1984
20;0;0;1984
0;0;0;1988
1;5;0.1316;1988
2;14;0.3684;1988
3;4;0.1053;1988
4;5;0.1316;1988
5;3;0.0789;1988
6;2;0.0526;1988
7;0;0;1988
8;1;0.0263;1988
9;2;0.0526;1988
10;1;0.0263;1988
11;0;0;1988
12;1;0.0263;1988
13;0;0;1988
14;0;0;1988
15;0;0;1988
16;0;0;1988
17;0;0;1988
18;0;0;1988
19;0;0;1988
20;0;0;1988
0;0;0;1992
1;4;0.1053;1992
2;23;0.6053;1992
3;1;0.0263;1992
4;3;0.0789;1992
5;1;0.0263;1992
6;4;0.1053;1992
7;1;0.0263;1992
8;1;0.0263;1992
9;0;0;1992
10;0;0;1992
11;0;0;1992
12;0;0;1992
13;0;0;1992
14;0;0;1992
15;0;0;1992
16;0;0;1992
17;0;0;1992
18;0;0;1992
19;0;0;1992
20;0;0;1992
0;0;0;1996
1;2;0.0526;1996
2;17;0.4474;1996
3;4;0.1053;1996
4;3;0.0789;1996
5;3;0.0789;1996
6;2;0.0526;1996
7;1;0.0263;1996
8;2;0.0526;1996
9;1;0.0263;1996
10;0;0;1996
11;1;0.0263;1996
12;0;0;1996
13;1;0.0263;1996
14;1;0.0263;1996
15;0;0;1996
16;0;0;1996
17;0;0;1996
18;0;0;1996
19;0;0;1996
20;0;0;1996
0;0;0;2000
1;4;0.1053;2000
2;24;0.6316;2000
3;6;0.1579;2000
4;3;0.0789;2000
5;1;0.0263;2000
6;0;0;2000
7;0;0;2000
8;0;0;2000
9;0;0;2000
10;0;0;2000
11;0;0;2000
12;0;0;2000
13;0;0;2000
14;0;0;2000
15;0;0;2000
16;0;0;2000
17;0;0;2000
18;0;0;2000
19;0;0;2000
20;0;0;2000
0;0;0;2000
1;7;0.1591;2004
2;6;0.1364;2004
3;6;0.1364;2004
4;8;0.1818;2004
5;5;0.1136;2004
6;3;0.0682;2004
7;1;0.0227;2004
8;2;0.0455;2004
9;0;0;2004
10;1;0.0227;2004
11;0;0;2004
12;1;0.0227;2004
13;2;0.0455;2004
14;1;0.0227;2004
15;0;0;2004
16;0;0;2004
17;0;0;2004
18;1;0.0227;2004
19;0;0;2004
20;0;0;2004
0;5;0.119;2008
1;8;0.1905;2008
2;7;0.1667;2008
3;4;0.0952;2008
4;3;0.0714;2008
5;2;0.0476;2008
6;3;0.0714;2008
7;3;0.0714;2008
8;1;0.0238;2008
9;0;0;2008
10;0;0;2008
11;2;0.0476;2008
12;0;0;2008
13;0;0;2008
14;3;0.0714;2008
15;0;0;2008
16;0;0;2008
17;0;0;2008
18;0;0;2008
19;1;0.0238;2008
20;0;0;2008
0;0;0;2012
1;5;0.1316;2012
2;10;0.2632;2012
3;3;0.0789;2012
4;2;0.0526;2012
5;4;0.1053;2012
6;0;0;2012
7;1;0.0263;2012
8;1;0.0263;2012
9;3;0.0789;2012
10;0;0;2012
11;3;0.0789;2012
12;3;0.0789;2012
13;1;0.0263;2012
14;2;0.0526;2012
15;0;0;2012
16;0;0;2012
17;0;0;2012
18;0;0;2012
19;0;0;2012
20;0;0;2012
0;0;0;2016
1;7;0.1842;2016
2;10;0.2632;2016
3;3;0.0789;2016
4;4;0.1053;2016
5;5;0.1316;2016
6;2;0.0526;2016
7;1;0.0263;2016
8;2;0.0526;2016
9;0;0;2016
10;1;0.0263;2016
11;2;0.0526;2016
12;1;0.0263;2016
13;0;0;2016
14;0;0;2016
15;0;0;2016
16;0;0;2016
17;0;0;2016
18;0;0;2016
19;0;0;2016
20;0;0;2016
0;0;0;2020
1;7;0.1842;2020
2;12;0.3158;2020
3;4;0.1053;2020
4;2;0.0526;2020
5;2;0.0526;2020
6;3;0.0789;2020
7;2;0.0526;2020
8;3;0.0789;2020
9;0;0;2020
10;2;0.0526;2020
11;1;0.0263;2020
12;0;0;2020
13;0;0;2020
14;0;0;2020
15;0;0;2020
16;0;0;2020
17;0;0;2020
18;0;0;2020
19;0;0;2020
20;0;0;2020
0;0;0;2024
1;4;0.1053;2024
2;12;0.3158;2024
3;6;0.1579;2024
4;3;0.0789;2024
5;3;0.0789;2024
6;3;0.0789;2024
7;1;0.0263;2024
8;1;0.0263;2024
9;2;0.0526;2024
10;0;0;2024
11;2;0.0526;2024
12;0;0;2024
13;0;0;2024
14;1;0.0263;2024
15;0;0;2024
16;0;0;2024
17;0;0;2024
18;0;0;2024
19;0;0;2024
20;0;0;2024
